,accuracy,recall,precision,sensitivity,specificity,f1_score,negative_predictive_value,positive_predictive_value,tn,tp,fn,fp
?,0.7969432314410481,0.2782608671455577,0.7619047437641728,0.2782608671455577,0.9708454782191094,0.4076425231058872,0.8004807673065366,0.7619047437641728,333.0,32.0,83.0,10.0
cambodia,0.625,0.16666663888889352,0.499999750000125,0.16666663888889352,0.8999999100000091,0.2499991875021406,0.6428570969387788,0.499999750000125,9.0,1.0,5.0,1.0
canada,0.7171717171717171,0.19354838085327802,0.6666665925926009,0.19354838085327802,0.9558823388840832,0.29999928750159216,0.722222214197531,0.6666665925926009,65.0,6.0,25.0,3.0
china,0.7719298245614035,0.16666665277777895,0.399999920000016,0.16666665277777895,0.9333333125925931,0.23529325951846533,0.8076922921597637,0.399999920000016,42.0,2.0,10.0,3.0
columbia,0.9433962264150944,0.0,0.0,0.0,0.9803921376393699,0.0,0.9615384430473377,0.0,50.0,0.0,2.0,1.0
cuba,0.7631578947368421,0.09999999500000024,0.99999950000025,0.09999999500000024,0.9999999821428575,0.18181783471122465,0.7567567465303142,0.99999950000025,56.0,2.0,18.0,0.0
dominican_republic,0.9838709677419355,0.499999750000125,0.9999990000010001,0.499999750000125,0.9999999833333336,0.6666653333346666,0.9836065412523518,0.9999990000010001,60.0,1.0,1.0,0.0
ecuador,0.9565217391304348,0.499999750000125,0.9999990000010001,0.499999750000125,0.9999999523809546,0.6666653333346666,0.9545454111570267,0.9999990000010001,21.0,1.0,1.0,0.0
el_salvador,0.9186046511627907,0.24999996875000394,0.6666664444445185,0.24999996875000394,0.9871794745233401,0.3636355041338994,0.927710832196255,0.6666664444445185,77.0,2.0,6.0,1.0
england,0.6973684210526315,0.1923076849112429,0.7142856122449125,0.1923076849112429,0.9599999808000005,0.30302961616305185,0.695652163831128,0.7142856122449125,48.0,5.0,21.0,2.0
france,0.5833333333333334,0.16666665277777895,0.99999950000025,0.16666665277777895,0.9999999166666736,0.28571375510274055,0.5454545206611581,0.99999950000025,12.0,2.0,10.0,0.0
germany,0.7428571428571429,0.1612903173777317,0.8333331944444675,0.1612903173777317,0.9864864731555882,0.2702697121997294,0.7373737299255179,0.8333331944444675,73.0,5.0,26.0,1.0
greece,0.8181818181818182,0.6666665555555741,0.6666665555555741,0.6666665555555741,0.8749999453125034,0.6666655555570741,0.8749999453125034,0.6666665555555741,14.0,4.0,2.0,2.0
guatemala,0.9607843137254902,0.33333322222225925,0.9999990000010001,0.33333322222225925,0.9999999791666672,0.499999000001,0.9599999808000005,0.9999990000010001,48.0,1.0,2.0,0.0
haiti,0.868421052631579,0.0,0.0,0.0,0.9705882067474058,0.0,0.8918918677867064,0.0,33.0,0.0,4.0,1.0
holand_netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
honduras,1.0,0.0,0.0,0.0,0.9999998888889013,0.0,0.9999998888889013,0.0,9.0,0.0,0.0,0.0
hong,0.5833333333333334,0.0,0.0,0.0,0.9999998571428775,0.0,0.5833332847222263,0.0,7.0,0.0,5.0,0.0
hungary,0.8,0.0,0.0,0.0,0.8888887901234679,0.0,0.8888887901234679,0.0,8.0,0.0,1.0,1.0
india,0.7341772151898734,0.4062499873046879,0.8666666088888928,0.4062499873046879,0.9574467881394301,0.5531905966514234,0.703124989013672,0.8666666088888928,45.0,13.0,19.0,2.0
iran,0.7096774193548387,0.3846153550295881,0.8333331944444675,0.3846153550295881,0.9444443919753115,0.5263148698074906,0.679999972800001,0.8333331944444675,17.0,5.0,8.0,1.0
ireland,0.7894736842105263,0.0,0.0,0.0,0.9999999333333378,0.0,0.7894736426592819,0.0,15.0,0.0,4.0,0.0
italy,0.6610169491525424,0.09523809070294806,0.6666664444445185,0.09523809070294806,0.9736841849030479,0.16666621527883363,0.6607142739158166,0.6666664444445185,37.0,2.0,19.0,1.0
jamaica,0.8823529411764706,0.19999998000000202,0.99999950000025,0.19999998000000202,0.999999982758621,0.3333327222230093,0.8787878654729112,0.99999950000025,58.0,2.0,8.0,0.0
japan,0.7450980392156863,0.34999998250000086,0.9999998571428775,0.34999998250000086,0.9999999677419364,0.5185177119352629,0.7045454385330583,0.9999998571428775,31.0,7.0,13.0,0.0
laos,0.9285714285714286,0.0,0.0,0.0,0.9999999230769291,0.0,0.9285713622449028,0.0,13.0,0.0,1.0,0.0
mexico,0.943289224952741,0.19999999333333354,0.4999999583333368,0.19999999333333354,0.9879759499238959,0.2857134557846284,0.9535783347126144,0.4999999583333368,493.0,6.0,24.0,6.0
nicaragua,0.9259259259259259,0.0,0.0,0.0,0.9999999600000016,0.0,0.9259258916323744,0.0,25.0,0.0,2.0,0.0
outlying_us(guam_usvi_etc),1.0,0.0,0.0,0.0,0.9999999285714337,0.0,0.9999999285714337,0.0,14.0,0.0,0.0,0.0
peru,0.9615384615384616,0.0,0.0,0.0,0.9999999600000016,0.0,0.9615384245562144,0.0,25.0,0.0,1.0,0.0
philippines,0.7668711656441718,0.22222221728395075,0.7692307100591762,0.22222221728395075,0.9745762629273198,0.34482687871719714,0.7666666615555556,0.7692307100591762,115.0,10.0,35.0,3.0
poland,0.8260869565217391,0.299999970000003,0.7499998125000469,0.299999970000003,0.9722221952160502,0.4285705510219194,0.833333313492064,0.7499998125000469,35.0,3.0,7.0,1.0
portugal,0.8387096774193549,0.0,0.0,0.0,0.9629629272976693,0.0,0.8666666377777787,0.0,26.0,0.0,4.0,1.0
puerto_rico,0.9347826086956522,0.33333327777778704,0.49999987500003124,0.33333327777778704,0.9767441746890213,0.39999896000230406,0.9545454436983473,0.49999987500003124,84.0,2.0,4.0,2.0
scotland,0.7777777777777778,0.33333322222225925,0.9999990000010001,0.33333322222225925,0.9999998333333611,0.499999000001,0.7499999062500118,0.9999990000010001,6.0,1.0,2.0,0.0
south,0.835820895522388,0.42857139795918586,0.6666665925926009,0.42857139795918586,0.9433962086151659,0.5217381323268773,0.8620689506539837,0.6666665925926009,50.0,6.0,8.0,3.0
taiwan,0.675,0.24999998437500096,0.799999840000032,0.24999998437500096,0.9583332934027794,0.3809516190489523,0.6571428383673475,0.799999840000032,23.0,4.0,12.0,1.0
thailand,0.7692307692307693,0.0,0.0,0.0,0.99999990000001,0.0,0.7692307100591762,0.0,10.0,0.0,3.0,0.0
trinadad&tobago,0.875,0.499999750000125,0.499999750000125,0.499999750000125,0.9285713622449028,0.49999875000212496,0.9285713622449028,0.499999750000125,13.0,1.0,1.0,1.0
united_states,0.7928326180257511,0.2604602510006171,0.7186147182690646,0.2604602510006171,0.9666932361098444,0.38234086954923185,0.8001036708543375,0.7186147182690646,16979.0,1494.0,4242.0,585.0
vietnam,0.9032258064516129,0.399999920000016,0.399999920000016,0.399999920000016,0.9473684044321333,0.399998920002516,0.9473684044321333,0.399999920000016,54.0,2.0,3.0,3.0
yugoslavia,0.6428571428571429,0.16666663888889352,0.9999990000010001,0.16666663888889352,0.9999998750000157,0.2857137142862857,0.615384568047341,0.9999990000010001,8.0,1.0,5.0,0.0
