,accuracy,recall,precision,sensitivity,specificity,f1_score,negative_predictive_value,positive_predictive_value,tn,tp,fn,fp
10th,0.9253333333333333,0.1999999960000001,0.3846153698224858,0.1999999960000001,0.9771428557469388,0.2631569875377009,0.9447513799105643,0.3846153698224858,684.0,10.0,40.0,16.0
11th,0.9484210526315789,0.3469387684298211,0.4999999852941181,0.3469387684298211,0.9811320743827613,0.40963757700910547,0.9650655011298411,0.4999999852941181,884.0,17.0,32.0,17.0
12th,0.9223880597014925,0.21428570663265334,0.599999940000006,0.21428570663265334,0.9869706808241997,0.31578868144232547,0.9323076894390533,0.599999940000006,303.0,6.0,22.0,4.0
1st_4th,0.9517241379310345,0.16666663888889352,0.33333322222225925,0.16666663888889352,0.9856115037006367,0.22222128395413443,0.9647887256000794,0.33333322222225925,137.0,1.0,5.0,2.0
5th_6th,0.9298892988929889,0.16666665277777895,0.1818181652892577,0.16666665277777895,0.9652509615241276,0.17391203025147595,0.9615384578402367,0.1818181652892577,250.0,2.0,10.0,9.0
7th_8th,0.9188118811881189,0.17647058304498286,0.31578945706371275,0.17647058304498286,0.972399148678558,0.22641416589906818,0.9423868293366526,0.31578945706371275,458.0,6.0,28.0,13.0
9th,0.9298245614035088,0.08333332986111125,0.24999996875000394,0.08333332986111125,0.983999997376,0.1249992421919692,0.9437340129316266,0.24999996875000394,369.0,2.0,22.0,6.0
assoc_acdm,0.7813578826237054,0.2431192649398199,0.6794871707758056,0.2431192649398199,0.9615975407655952,0.3581073293935717,0.7914032859779984,0.6794871707758056,626.0,53.0,165.0,25.0
assoc_voc,0.7664562669071235,0.2315436233840818,0.6969696899295991,0.2315436233840818,0.9630086301319253,0.34760630240819873,0.773267325967062,0.6969696899295991,781.0,69.0,229.0,30.0
bachelors,0.6787540678754068,0.2749858835262643,0.832478631055592,0.2749858835262643,0.9612801260524377,0.41341181672475175,0.6545601289603014,0.832478631055592,2433.0,487.0,1284.0,98.0
doctorate,0.4642857142857143,0.29317268958565185,0.9480519357395852,0.29317268958565185,0.9540229775399658,0.44785203635932114,0.32046331922601035,0.9480519357395852,83.0,73.0,176.0,4.0
hs_grad,0.8482652091254753,0.20977443593250042,0.5524752464307421,0.20977443593250042,0.9681061246164118,0.3040863952634729,0.8671470103821075,0.5524752464307421,6860.0,279.0,1051.0,226.0
masters,0.5960118168389956,0.31648936128126415,0.8782287790471263,0.31648936128126415,0.9451827226824208,0.46529736288374585,0.5253924279543929,0.8782287790471263,569.0,238.0,514.0,33.0
preschool,0.9512195121951219,0.0,0.0,0.0,0.9512194889946467,0.0,0.999999974358975,0.0,39.0,0.0,0.0,2.0
prof_school,0.5608695652173913,0.41887905481156623,0.9659863879864872,0.41887905481156623,0.9586776780274572,0.5843612935878998,0.3706070275699456,0.9659863879864872,116.0,142.0,197.0,5.0
some_college,0.8244919049259387,0.21441441422124827,0.6181818165761511,0.21441441422124827,0.9686967629964444,0.3183938835816623,0.8391440692051015,0.6181818165761511,4549.0,238.0,872.0,147.0
